41
 simulation time
 STEAM DOME PRESSURE
 REACTOR POWER
 RECIRCULATION FLOW
 FINE COLLAPSED LEVEL OF REACTOR VESSEL
 COARSE COLLAPSED LEVEL OF REACTOR VESSEL
 FEEDWATER FLOW
 STEAM FLOW
 FLOW OF SYSTEM 314
 FLOW OF SYSTEM 323
 FLOW OF SYSTEM 327
 PRIMARY STEAM LINE BREAK FLOW
 SECONDARY STEAM LINE BREAK FLOW
 DRYWELL PRESSURE
 WETWELL PRESSURE
 ROTATION SPEED OF RECIRCULATION PUMP
 TOTAL STEAM LINE BREAK FLOW
 GAS TEMPERATURE OF DRYWELL
 GAS TEMPERATURE OF WETWELL
 LIQUID TEMPERATURE OF WETWELL
 MASS OF COOLANT IN REACTOR VESSEL
 INTEGRATED STEAM LINE BREAK FLOW
 INTEGRATED ENTHALPY OF STEAM LINE BREAK FLOW
 LEVEL OF REACTOR VESSEL MEASURED FROM DC AND
 MASS FLOW OF RECIRCULATION PUMPS
 SPECIFIC ENTHALPY OF STEAM LINE BREAK FLOW
 FLOW OF SYSTEM 322
 ROTATION SPEED OF MOTOR OF RECIRCULATION PUMP
 WATER LEVEL OF WETWELL
 MASS FLOW OF LAST PIPE IN SYSTEM 314
 MASS FLOW OF VENT PIPES
 SPRAY MASS FLOW TO DRYWELL
 TEMPERATURE OF SPRAY GOING TO DRYWELL
 SPRAY MASS FLOW TO WETWELL
 TEMPERATURE OF SPRAY GOING TO WETWELL
 SIMULATION TIME STEP
 NUMBER OF ITERATIONS
 NUMBER OF ITERATIONS BY SIX-EQUATION MODEL
 INTEGRATED MASS ERROR OF LIQUID
 INTEGRATED MASS ERROR OF STEAM
 INTEGRATED MASS ERROR OF NONCONDENSABLE GAS
    1.000000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.55        97554.36        1273.127        0.000000        316.7657        293.2721        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787704      -0.7803983E-01   0.8024558E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1305016       -2.333461      -0.4521812E-11
    1.100000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.54        97554.38        1273.127        0.000000        316.7657        293.2721        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787704       0.7766779E-01   0.6205004E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1227343       -2.333461      -0.4521812E-11
    1.200000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.52        97554.40        1273.127        0.000000        316.7657        293.2721        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787704      -0.7808847E-01   0.3532200E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1305442       -2.333461      -0.4521271E-11
    1.300000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.52        97554.42        1273.127        0.000000        316.7657        293.2721        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787705       0.7758761E-01  -0.1431033E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1227850       -2.333461      -0.4522006E-11
    1.400000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.50        97554.45        1273.127        0.000000        316.7657        293.2722        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787706      -0.7811136E-01  -0.6712565E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1305971       -2.333461      -0.4522562E-11
    1.500000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.48        97554.46        1273.127        0.000000        316.7657        293.2722        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787707       0.7759369E-01  -0.8541103E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1228372       -2.333461      -0.4523061E-11
    1.600000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.48        97554.48        1273.127        0.000000        316.7657        293.2722        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787708      -0.7810143E-01  -0.9993746E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1306484       -2.333461      -0.4522229E-11
    1.700000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.46        97554.51        1273.127        0.000000        316.7657        293.2722        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787709       0.7760362E-01  -0.1119224E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1228875       -2.333461      -0.4522909E-11
    1.800000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.45        97554.52        1273.127        0.000000        316.7656        293.2722        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787710      -0.7808859E-01  -0.1219976E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1306972       -2.333461      -0.4522784E-11
    1.900000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.45        97554.55        1273.127        0.000000        316.7656        293.2722        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787710       0.7762095E-01  -0.1304369E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1229347       -2.333461      -0.4524199E-11
    2.000000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.43        97554.56        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787711      -0.7806695E-01  -0.1374593E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1307423       -2.333461      -0.4524546E-11
    2.100000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.42        97554.58        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787712       0.7764632E-01  -0.1431438E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1229773       -2.333461      -0.4525129E-11
    2.200000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.59        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787712      -0.7803839E-01  -0.1475953E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1307821       -2.333460      -0.4526558E-11
    2.300000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.60        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787712       0.7767756E-01  -0.1508292E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1230137       -2.333460      -0.4527641E-11
    2.400000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.40        97554.62        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787713      -0.7800486E-01  -0.1529053E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1308152       -2.333460      -0.4528876E-11
    2.500000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.40        97554.62        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787713       0.7771292E-01  -0.1538108E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1230434       -2.333460      -0.4528057E-11
